Date,Temp Forecast (C) ,Day of Week,Holiday,Peak,Shoulder,Off Peak
6/5/2019,26.57,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/5/2019,27.73,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
8/5/2019,26.03,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
9/5/2019,26.67,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/5/2019,26.04,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
11/5/2019,27.12,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
12/5/2019,27.14,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
13/5/2019,26.64,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
14/5/2019,26.64,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
15/5/2019,26.85,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
16/5/2019,26.19,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/5/2019,25.34,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
18/5/2019,26.18,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
19/5/2019,25.41,Sunday,Yes,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
20/5/2019,25.81,Monday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/5/2019,25.91,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
22/5/2019,26.16,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
23/5/2019,26.07,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/5/2019,26.06,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
25/5/2019,26.25,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
26/5/2019,26.47,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
27/5/2019,26.46,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/5/2019,26.42,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
29/5/2019,26.28,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
30/5/2019,25.73,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
31/5/2019,25.81,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
1/6/2019,25.5,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
2/6/2019,25.28,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
3/6/2019,25.34,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
4/6/2019,25.55,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
5/6/2019,26.07,Wednesday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/6/2019,25.28,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/6/2019,24.66,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
8/6/2019,25.54,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
9/6/2019,25.8,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
10/6/2019,26.25,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
11/6/2019,26.22,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
12/6/2019,25.01,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/6/2019,25.94,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
14/6/2019,26.25,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
15/6/2019,25.74,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
16/6/2019,26.15,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
17/6/2019,26.31,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
18/6/2019,25.23,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
19/6/2019,25.64,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
20/6/2019,25.59,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/6/2019,25.54,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
22/6/2019,24.58,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
23/6/2019,25.16,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
24/6/2019,25.56,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
25/6/2019,25.88,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
26/6/2019,25.14,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/6/2019,25.78,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/6/2019,26.05,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
29/6/2019,25.93,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
30/6/2019,25.44,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
1/7/2019,25.46,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
2/7/2019,25.75,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
3/7/2019,25.31,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
4/7/2019,25.82,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
5/7/2019,25.74,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/7/2019,25.45,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
7/7/2019,25.63,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
8/7/2019,25.32,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
9/7/2019,25.11,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/7/2019,25.8,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
11/7/2019,25.38,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
12/7/2019,26.04,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/7/2019,26.31,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
14/7/2019,26.13,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
15/7/2019,25.06,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
16/7/2019,25.53,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/7/2019,25.14,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
18/7/2019,25.03,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
19/7/2019,25.25,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
20/7/2019,25.63,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
21/7/2019,25.93,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
22/7/2019,25.22,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
23/7/2019,25.41,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/7/2019,25.88,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
25/7/2019,25.42,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
26/7/2019,25.81,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/7/2019,25.92,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
28/7/2019,25.72,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
29/7/2019,25.61,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
30/7/2019,25.66,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
31/7/2019,24.5,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
1/8/2019,24.26,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
2/8/2019,24.55,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
3/8/2019,25.33,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
4/8/2019,25.25,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
5/8/2019,25.12,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/8/2019,25.46,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/8/2019,25.27,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
8/8/2019,24.97,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
9/8/2019,25.16,Friday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/8/2019,25.52,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
11/8/2019,25.83,Sunday,Yes,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
12/8/2019,25.54,Monday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/8/2019,25.86,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
14/8/2019,25.98,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
15/8/2019,25.48,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
16/8/2019,25.07,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/8/2019,25.3,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
18/8/2019,24.86,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
19/8/2019,24.73,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
20/8/2019,25.22,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/8/2019,25.37,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
22/8/2019,25.7,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
23/8/2019,25.01,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/8/2019,24.78,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
25/8/2019,25.13,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
26/8/2019,25.14,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/8/2019,24.75,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/8/2019,24.5,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
29/8/2019,25.42,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
30/8/2019,24.87,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
31/8/2019,24.18,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
1/9/2019,25.1,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
2/9/2019,25.61,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
3/9/2019,25.85,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
4/9/2019,25.18,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
5/9/2019,25.31,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/9/2019,25.42,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/9/2019,25.14,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
8/9/2019,25.2,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
9/9/2019,25.47,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/9/2019,25.43,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
11/9/2019,25.14,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
12/9/2019,25.3,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/9/2019,25.42,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
14/9/2019,25.38,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
15/9/2019,24.66,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
16/9/2019,24.6,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/9/2019,25.42,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
18/9/2019,25.51,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
19/9/2019,25.02,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
20/9/2019,25.08,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/9/2019,24.53,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
22/9/2019,24.93,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
23/9/2019,25.3,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/9/2019,25.32,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
25/9/2019,24.95,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
26/9/2019,24.74,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/9/2019,25.33,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/9/2019,25.08,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
29/9/2019,25.09,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
30/9/2019,24.79,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
1/10/2019,24.87,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
2/10/2019,24.32,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
3/10/2019,24.3,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
4/10/2019,24.93,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
5/10/2019,24.5,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
6/10/2019,24.35,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
7/10/2019,25.06,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
8/10/2019,25.11,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
9/10/2019,24.99,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/10/2019,25.03,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
11/10/2019,25.37,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
12/10/2019,25.47,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
13/10/2019,25.58,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
14/10/2019,25.26,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
15/10/2019,25.22,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
16/10/2019,25.74,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/10/2019,25.45,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
18/10/2019,25.22,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
19/10/2019,25.16,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
20/10/2019,25.63,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
21/10/2019,25.49,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
22/10/2019,25.08,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
23/10/2019,24.92,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
24/10/2019,25.23,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
25/10/2019,25.73,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
26/10/2019,24.87,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
27/10/2019,24.63,Sunday,Yes,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
28/10/2019,24.65,Monday,Yes,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
29/10/2019,25.13,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
30/10/2019,25.11,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
31/10/2019,25.17,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
1/11/2019,24.41,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
2/11/2019,25,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
3/11/2019,24.4,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
4/11/2019,25.23,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
5/11/2019,25.57,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/11/2019,25.79,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/11/2019,26.18,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
8/11/2019,24.12,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
9/11/2019,24.96,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
10/11/2019,24.48,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
11/11/2019,25.52,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
12/11/2019,25.35,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/11/2019,25.45,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
14/11/2019,25.07,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
15/11/2019,24.94,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
16/11/2019,25.25,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
17/11/2019,25.02,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
18/11/2019,25.14,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
19/11/2019,25.35,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
20/11/2019,24.74,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
21/11/2019,24.78,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
22/11/2019,24.67,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
23/11/2019,24.82,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
24/11/2019,24.73,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
25/11/2019,25.09,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
26/11/2019,25.3,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
27/11/2019,25.44,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
28/11/2019,25.82,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
29/11/2019,25.32,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
30/11/2019,25.91,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
1/12/2019,25.73,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
2/12/2019,25.02,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
3/12/2019,24.86,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
4/12/2019,24.49,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
5/12/2019,24.54,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
6/12/2019,24.39,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
7/12/2019,24.38,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
8/12/2019,24.43,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
9/12/2019,24.02,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
10/12/2019,24.2,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
11/12/2019,23.56,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
12/12/2019,24,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
13/12/2019,23.84,Friday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
14/12/2019,24.05,Saturday,No,-,"Period 1, Period 17-48",Period 2-16
15/12/2019,23.92,Sunday,No,-,"Period 22-34, Period 38-47","Period 1-21, Period 35-37, Period 48"
16/12/2019,24.18,Monday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
17/12/2019,24.7,Tuesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
18/12/2019,25.03,Wednesday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
19/12/2019,24.97,Thursday,No,Period 18-41,"Period 15-17, Period 42-48",Period 1-14
